train_loss,validation_loss
454.5199956011667,429.6732177734375
427.32295879078333,399.54571533203125
404.3287704400554,390.07489013671875
382.60531011236924,362.85797119140625
371.3655015046376,352.0626525878906
358.6467574199391,354.1442565917969
354.7441226102182,340.05072021484375
349.9571435062896,344.3556213378906
342.58603093487574,332.37957763671875
338.93057197201097,327.7533264160156
341.19323031387665,335.1666259765625
338.49409222707874,335.1650085449219
339.5467233531801,331.6088562011719
337.09107278832255,325.1137390136719
332.21267794302383,323.5341796875
329.0820027490019,324.1690368652344
327.41950645950925,321.57879638671875
325.82249524624865,322.60760498046875
324.80182368744835,317.85980224609375
323.6433147144738,318.9097900390625
322.6858345737541,315.3427734375
320.8568534683026,313.7773742675781
319.2108973028376,312.64501953125
317.4051117077798,313.1181335449219
316.26838690803964,311.44439697265625
315.5618127495182,310.89166259765625
315.933387924396,309.4881591796875
314.01869087387286,309.0390319824219
313.29626128747077,308.4744873046875
312.8687986130231,307.2408142089844
312.5319640037772,306.5298156738281
311.71386732193866,307.0621643066406
311.23531217196967,305.7586364746094
310.53834795846814,305.85052490234375
310.0177601549594,305.2994079589844
309.5960076285879,304.2160339355469
309.1725664180806,304.0833740234375
308.8565404950785,303.6985168457031
308.4917200567439,302.93414306640625
308.0318229776122,302.9238586425781
307.5161744508449,302.7271728515625
307.20749183688395,302.5840148925781
306.9061187878579,302.610107421875
306.6122108493082,302.3034362792969
306.22609478786654,301.39263916015625
305.79778098219816,300.4454040527344
305.5349699180032,300.3134460449219
305.26398148725735,300.3694152832031
305.1297926041523,300.518310546875
304.9486019453813,299.43377685546875
304.31811093233756,299.22216796875
304.14592242135876,298.7975769042969
303.5976882464035,298.61474609375
303.3250444723121,298.0494384765625
303.1567042682664,297.931884765625
302.5811865718354,297.9803466796875
302.47234462116256,297.5391845703125
302.11861738969577,297.0285949707031
301.66714746416403,296.60833740234375
301.4233653870973,297.5546875
301.2133415322997,296.2398376464844
300.85738530768174,296.34515380859375
300.6081646486526,296.4156494140625
300.5790370319383,295.46636962890625
300.35435398454706,295.3446044921875
300.18202700173805,295.5381164550781
299.75150651973775,294.60955810546875
299.35338011082047,294.8561706542969
298.961901828581,294.0470886230469
298.7473502138113,293.8677673339844
298.50814389132194,293.643798828125
298.460231965859,293.6766357421875
298.1192253213622,293.24114990234375
298.023899296832,294.4023132324219
298.3372599731983,294.4619140625
297.632722426091,292.6507873535156
297.500502128433,292.1756286621094
296.9791944058456,292.17486572265625
296.7826171068368,292.0472412109375
296.48329599523333,292.0279235839844
296.463160040095,291.4681091308594
296.0501811157764,291.23602294921875
295.820544810022,291.9842529296875
295.7682850035277,290.96002197265625
295.49673529133395,290.6040344238281
295.29343175678,290.5005187988281
294.9468538393533,290.0477294921875
294.8696958567077,290.01177978515625
294.76827061858995,289.93194580078125
294.5572199212297,290.07952880859375
294.53814522495355,289.9257507324219
294.5028776597346,289.779052734375
294.13722074399436,289.24053955078125
293.8804629153617,289.27020263671875
293.63645094816906,289.2816162109375
293.45612741882053,288.8173828125
293.3050214456567,288.7037658691406
293.28754172976323,288.5042724609375
293.1378956261185,288.6458740234375
292.76105690842684,288.0896911621094
292.73354282463174,287.8670349121094
292.42603466689326,287.5782165527344
292.28271565038204,287.3205871582031
292.14390476579706,287.4063720703125
291.8998663141864,286.984619140625
292.0320958881126,287.0827331542969
291.96867874750484,287.2808532714844
291.6065122629577,287.0151672363281
291.54676664243186,287.1282653808594
291.0950965377203,286.4834899902344
291.02054330430894,286.56573486328125
290.8731302269755,285.8397216796875
290.51074245637733,285.68841552734375
290.34539257167194,285.64324951171875
290.23912377714583,285.8318176269531
290.2460302949477,285.2826232910156
290.01566318058235,285.2247619628906
289.8367154965842,285.1340637207031
289.6466540366017,284.8277893066406
289.4962401537118,285.0096435546875
289.40050207465754,284.8077697753906
289.3270014960335,284.5453796386719
289.0692047253579,284.2343444824219
289.0977058578693,284.3062744140625
288.8159761806942,284.2438659667969
288.6639998515797,284.2295227050781
288.4321739432045,283.7286682128906
288.4241739012596,283.83697509765625
288.3112365453779,283.515380859375
288.303441119089,283.35186767578125
288.1008498406095,283.09515380859375
287.8823976222639,283.0735168457031
287.6719630573289,283.285400390625
287.76977512174767,282.77593994140625
287.53080836896856,282.7610168457031
287.32862067537684,282.848388671875
287.2986853511323,282.58807373046875
287.18260213036893,282.5862731933594
286.98478382799595,282.0180358886719
286.72125378579295,282.2032775878906
286.711733914682,281.96551513671875
286.592554571345,282.1479797363281
286.5841966536602,281.9643859863281
286.270867301504,281.61810302734375
286.14699013327714,281.61328125
285.97445517384534,281.295654296875
285.9150675634981,281.206787109375
285.77742051448064,280.96710205078125
285.61918740965723,281.3723449707031
285.65294348090754,281.0821838378906
285.49883145907904,280.929443359375
285.39010149581844,280.9327697753906
285.2069792222346,280.58782958984375
285.11544262050006,280.366455078125
284.8976408164407,280.25750732421875
284.7785207605572,280.621337890625
284.8840656028445,280.0777587890625
284.698756146536,280.27325439453125
284.5918144864658,279.9316711425781
284.37075899771133,279.90814208984375
284.5137839968509,279.60943603515625
284.1200046623331,279.5639343261719
283.98340314285343,279.40435791015625
283.8989878919156,279.20880126953125
283.9765764816217,279.3550720214844
284.0916543700096,279.36346435546875
283.90909068910037,279.2297058105469
283.77241563166814,279.4318542480469
283.4273586189169,279.0129089355469
283.2644361588398,278.6543273925781
283.1678855324632,278.5033264160156
283.0119322386082,278.5224304199219
283.15681975108413,278.3611755371094
283.08063900313186,278.10040283203125
282.6998995474257,278.1998596191406
282.5227284704536,278.0716552734375
282.4196884894686,278.06298828125
282.3450394012855,278.3844299316406
282.2604548920619,277.76824951171875
282.2356568727199,277.9275817871094
282.22779113500656,277.6868591308594
282.12173865230073,277.4198303222656
281.90848517732996,277.3671569824219
281.7662709778101,277.2983703613281
281.63730947351667,277.4598388671875
281.5529564676831,277.02105712890625
281.45615995297874,277.1518859863281
281.4266612855348,277.0168151855469
281.4180383892311,276.98126220703125
281.2146672320261,276.9346008300781
280.98967484125484,276.46051025390625
281.0306540333752,276.4602355957031
280.99720448229283,276.2553405761719
280.8702172098706,276.6697998046875
280.8781671061915,276.60150146484375
280.85799727250827,276.2790222167969
280.55611846520515,276.5559997558594
280.5130459285518,276.2075500488281
280.3403456095557,275.9626159667969
280.25807116000135,275.6800842285156
280.15795844662034,275.84173583984375
280.0972904423785,275.6305236816406
279.98541528642966,275.70025634765625
280.0774146260669,275.6882019042969
279.85013086260153,275.5045471191406
279.8308411988918,275.42523193359375
279.65234563214136,275.4066162109375
279.64588948388456,275.4626770019531
279.66945819602665,275.0550231933594
279.5087559233678,276.1863098144531
279.9909222976752,275.4573059082031
279.9591811932131,275.077392578125
279.52111157656765,275.0886535644531
279.11413359116875,274.81005859375
278.9589125847501,274.6341552734375
278.9448642814737,274.4288635253906
278.8096460014713,274.5588073730469
278.7102226895908,274.4389953613281
278.62159171083425,274.1918029785156
279.0527380048441,274.2121887207031
278.7130933585146,274.8377990722656
278.5424866529288,274.1008605957031
278.4364482862834,274.0210876464844
278.2056435740467,273.957763671875
278.1621242976924,274.03271484375
278.14687559153015,273.7875061035156
277.9365852792883,273.61663818359375
278.0301428975513,274.0190734863281
277.9197671360906,273.4713439941406
277.7138054801504,273.5637512207031
277.5957694032644,273.3959045410156
277.5934593435951,273.8469543457031
277.52926649186054,273.3726806640625
277.3323798494717,273.2953186035156
277.2786344956721,273.3916320800781
277.3389325246937,273.0078430175781
277.34150568084044,272.8814697265625
277.21267969072653,273.20849609375
277.1012250589379,273.0230712890625
276.94597676146924,272.9872131347656
277.18331962955153,272.7592468261719
277.0931806522319,272.831298828125
277.0547181520168,272.5157775878906
276.871929286335,272.7273864746094
276.6582942744184,272.32244873046875
276.6241694378958,272.358154296875
276.5196693185143,272.4910583496094
276.66066173939976,273.22442626953125
276.47167995637733,272.0690002441406
276.3152148545051,272.2121276855469
